table_name,field_name,language,record_id,translation
routes,route_desc,en,165,All-day high-frequency
routes,route_desc_detail,en,165,Departures every 2 to 12 minutes Monday through Friday between 6am and 8pm (in both directions)
routes,route_url,en,166,https://www.stm.info/en/info/networks/bus
directions,direction,en,166_0,South
directions,direction,en,166_1,North
routes,route_desc,en,166,Day
routes,route_desc_detail,en,166,Day routes only
routes,route_url,en,168,https://www.stm.info/en/info/networks/bus
directions,direction,en,168_0,South
directions,direction,en,168_1,North
routes,route_desc,en,168,Day
routes,route_desc_detail,en,168,Day routes only
routes,route_url,en,170,https://www.stm.info/en/info/networks/bus
directions,direction,en,170_0,South
directions,direction,en,170_1,North
routes,route_desc,en,170,Day
routes,route_desc_detail,en,170,Day routes only
routes,route_url,en,171,https://www.stm.info/en/info/networks/bus
directions,direction,en,171_0,East
directions,direction,en,171_1,West
routes,route_desc,en,171,Day
routes,route_desc_detail,en,171,Day routes only
routes,route_url,en,172,https://www.stm.info/en/info/networks/bus
directions,direction,en,172_0,South
directions,direction,en,172_1,North
routes,route_desc,en,172,Day
routes,route_desc_detail,en,172,Day routes only
routes,route_url,en,174,https://www.stm.info/en/info/networks/bus
directions,direction,en,174_0,East
directions,direction,en,174_1,West
routes,route_desc,en,174,Day
routes,route_desc_detail,en,174,Day routes only
routes,route_url,en,175,https://www.stm.info/en/info/networks/bus
directions,direction,en,175_0,East
directions,direction,en,175_1,West
routes,route_desc,en,175,Day
routes,route_desc_detail,en,175,Day routes only
routes,route_url,en,176,https://www.stm.info/en/info/networks/bus
directions,direction,en,176_0,South
directions,direction,en,176_1,North
routes,route_desc,en,176,Day
routes,route_desc_detail,en,176,Day routes only
routes,route_url,en,177,https://www.stm.info/en/info/networks/bus
directions,direction,en,177_0,East
directions,direction,en,177_1,West
routes,route_desc,en,177,Rush-hour high-frequency
routes,route_desc_detail,en,177,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,179,https://www.stm.info/en/info/networks/bus
directions,direction,en,179_0,South
directions,direction,en,179_1,North
routes,route_desc,en,179,Day
routes,route_desc_detail,en,179,Day routes only
routes,route_url,en,180,https://www.stm.info/en/info/networks/bus
directions,direction,en,180_0,East
directions,direction,en,180_1,West
routes,route_desc,en,180,Day
routes,route_desc_detail,en,180,Day routes only
routes,route_url,en,183,https://www.stm.info/en/info/networks/bus
directions,direction,en,183_0,East
directions,direction,en,183_1,West
routes,route_desc,en,183,Day
routes,route_desc_detail,en,183,Day routes only
routes,route_url,en,185,https://www.stm.info/en/info/networks/bus
directions,direction,en,185_0,East
directions,direction,en,185_1,West
routes,route_desc,en,185,Day
routes,route_desc_detail,en,185,Day routes only
routes,route_url,en,186,https://www.stm.info/en/info/networks/bus
directions,direction,en,186_0,East
directions,direction,en,186_1,West
routes,route_desc,en,186,Day
routes,route_desc_detail,en,186,Day routes only
routes,route_url,en,187,https://www.stm.info/en/info/networks/bus
directions,direction,en,187_0,East
directions,direction,en,187_1,West
routes,route_desc,en,187,Rush-hour high-frequency
routes,route_desc_detail,en,187,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,188,https://www.stm.info/en/info/networks/bus
directions,direction,en,188_0,East
directions,direction,en,188_1,West
routes,route_desc,en,188,Day
routes,route_desc_detail,en,188,Day routes only
routes,route_url,en,189,https://www.stm.info/en/info/networks/bus
directions,direction,en,189_0,East
directions,direction,en,189_1,West
routes,route_desc,en,189,Day
routes,route_desc_detail,en,189,Day routes only
routes,route_url,en,190,https://www.stm.info/en/info/networks/bus
directions,direction,en,190_0,East
directions,direction,en,190_1,West
routes,route_desc,en,190,Day
routes,route_desc_detail,en,190,Day routes only
routes,route_url,en,192,https://www.stm.info/en/info/networks/bus
directions,direction,en,192_0,East
directions,direction,en,192_1,West
routes,route_desc,en,192,Day
routes,route_desc_detail,en,192,Day routes only
routes,route_url,en,193,https://www.stm.info/en/info/networks/bus
directions,direction,en,193_0,East
directions,direction,en,193_1,West
routes,route_desc,en,193,Rush-hour high-frequency
routes,route_desc_detail,en,193,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,195,https://www.stm.info/en/info/networks/bus
directions,direction,en,195_0,East
directions,direction,en,195_1,West
routes,route_desc,en,195,Day
routes,route_desc_detail,en,195,Day routes only
routes,route_url,en,196,https://www.stm.info/en/info/networks/bus
directions,direction,en,196_0,South
directions,direction,en,196_1,North
routes,route_desc,en,196,Rush-hour high-frequency
routes,route_desc_detail,en,196,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,197,https://www.stm.info/en/info/networks/bus
directions,direction,en,197_0,East
directions,direction,en,197_1,West
routes,route_desc,en,197,Rush-hour high-frequency
routes,route_desc_detail,en,197,Departures every 2 to 12 minutes from 6:30am to 9:30am and 3pm to 6pm Monday through Friday (in the busier direction)
routes,route_url,en,198,https://www.stm.info/en/info/networks/bus
directions,direction,en,198_0,East
directions,direction,en,198_1,West
routes,route_desc,en,198,Day
routes,route_desc_detail,en,198,Day routes only
routes,route_url,en,200,https://www.stm.info/en/info/networks/bus
directions,direction,en,200_0,East
directions,direction,en,200_1,West
routes,route_desc,en,200,Day
routes,route_desc_detail,en,200,Day routes only
routes,route_url,en,201,https://www.stm.info/en/info/networks/bus
directions,direction,en,201_0,North
directions,direction,en,201_1,South
routes,route_desc,en,201,Day
